content_velocity,user_reports_24h,prior_violations,model_confidence,account_age_days,engagement_spike_ratio,cross_border_content,content_type,region_risk_band,appeal_history,escalation_required
41.11,4,2,0.675,761.4,1.653,yes,text,low,none,0
34.46,2,1,0.762,313.5,1.246,no,multimodal,medium,frequent,0
8.12,5,1,0.652,747.4,0.38,no,image,medium,none,0
90.53,4,1,0.904,675.3,2.091,no,text,medium,none,1
21.95,3,2,0.804,1132.8,0.372,no,multimodal,low,none,0
10.93,3,1,0.692,1529.3,1.643,yes,image,medium,none,0
47.57,5,3,0.863,1152.0,2.405,no,image,medium,frequent,1
29.88,3,3,0.416,461.5,1.425,no,video,medium,none,0
38.55,2,0,0.666,198.9,1.496,no,video,medium,none,0
32.15,7,3,0.702,279.3,1.54,no,video,low,some,1
3.13,3,1,0.776,1501.5,1.449,no,multimodal,low,none,0
14.36,3,1,0.406,597.2,2.525,no,image,high,none,0
13.87,2,1,0.638,695.1,0.928,no,image,low,none,0
56.71,2,3,0.744,1027.6,0.866,yes,multimodal,low,none,0
30.72,0,1,0.756,570.3,1.186,no,video,low,none,0
42.84,2,0,0.87,1272.7,2.22,no,multimodal,medium,none,0
23.01,2,2,0.802,176.5,1.062,no,multimodal,medium,none,0
44.32,4,3,0.67,804.7,1.565,no,image,medium,some,1
26.55,4,4,0.788,1819.1,1.886,no,video,high,frequent,1
25.09,2,1,0.648,1342.7,1.739,yes,image,low,none,0
34.29,2,0,0.703,1396.2,1.859,no,text,low,none,0
32.15,2,1,0.807,159.6,2.059,no,image,high,none,1
134.77,4,4,0.673,667.1,1.504,no,text,medium,none,1
14.22,2,1,0.738,517.7,1.121,no,video,high,none,0
7.22,4,2,0.834,277.8,1.424,no,video,medium,none,1
37.95,1,0,0.794,675.0,1.18,no,multimodal,low,none,0
16.05,4,1,0.877,200.7,2.611,yes,text,high,none,1
2.65,3,1,0.99,760.1,1.084,no,image,low,none,0
11.46,4,4,0.792,259.8,1.592,no,image,medium,some,1
116.29,7,3,0.606,732.8,0.6,no,video,low,none,1
13.89,1,0,0.762,289.5,1.416,no,text,medium,some,0
4.89,0,2,0.755,440.7,1.206,no,image,medium,none,0
111.67,1,1,0.778,408.3,1.688,yes,video,low,none,1
11.05,4,1,0.919,509.7,1.701,no,text,high,some,0
160.8,3,1,0.411,550.1,2.058,no,video,low,none,1
22.23,2,0,0.922,409.8,2.019,yes,text,low,some,1
90.77,3,1,0.976,235.7,1.317,no,image,low,none,1
24.65,4,1,0.771,1185.3,0.878,yes,multimodal,medium,none,1
41.28,5,2,0.775,568.1,0.936,no,text,medium,none,0
27.0,1,0,0.641,686.3,1.501,no,text,medium,none,0
24.8,2,6,0.681,409.9,1.429,yes,multimodal,medium,some,1
35.73,3,3,0.792,2389.0,1.479,no,text,medium,none,0
42.35,3,1,0.781,605.7,1.082,no,image,high,none,1
33.76,4,1,0.795,1226.9,2.069,yes,image,high,none,1
31.25,3,1,0.78,446.5,0.614,no,video,low,none,0
16.16,1,1,0.824,828.0,1.055,no,video,medium,none,0
27.8,5,1,0.806,493.7,0.811,no,video,low,none,0
83.43,3,2,0.516,1094.6,1.246,no,multimodal,low,none,1
15.53,7,1,0.813,375.5,1.973,yes,image,medium,some,1
36.49,0,1,0.977,211.0,1.206,no,image,medium,none,0
67.07,3,1,0.676,684.6,1.401,no,multimodal,medium,some,1
42.6,3,2,0.92,1145.5,1.682,yes,text,medium,some,1
57.12,5,1,0.533,505.2,1.182,no,multimodal,medium,none,1
10.89,2,2,0.675,367.4,1.541,no,multimodal,high,some,1
36.55,4,2,0.577,176.5,1.475,yes,multimodal,low,none,1
23.71,1,3,0.901,1156.5,0.785,no,text,low,none,1
24.52,4,0,0.942,269.3,1.118,no,video,low,frequent,0
78.83,4,3,0.664,405.4,1.527,no,multimodal,low,none,1
24.83,0,0,0.867,398.2,1.991,no,text,high,frequent,1
37.42,4,1,0.944,536.8,1.991,no,video,low,some,1
4.89,6,0,0.675,823.1,2.398,yes,text,low,some,0
90.7,2,0,0.701,1943.1,1.593,no,text,low,none,0
54.88,1,0,0.797,706.3,1.143,no,multimodal,low,none,0
28.6,0,0,0.545,177.5,1.318,no,multimodal,medium,none,0
22.88,3,1,0.698,516.3,1.293,no,text,high,none,0
45.68,4,1,0.99,714.1,1.146,no,text,medium,some,1
66.52,3,4,0.6,1286.5,1.541,no,video,low,none,0
91.51,4,2,0.817,1187.1,1.565,no,text,medium,none,0
53.65,1,1,0.764,500.9,0.763,no,video,high,frequent,0
31.57,1,0,0.654,593.5,1.894,no,video,low,none,0
59.37,4,1,0.715,657.8,0.432,no,image,medium,some,1
52.1,1,1,0.96,595.3,1.239,yes,multimodal,medium,none,1
31.67,1,0,0.769,515.6,1.925,no,text,medium,none,0
51.05,5,1,0.794,1557.2,1.654,no,text,low,none,0
50.39,6,1,0.936,316.7,1.172,no,multimodal,medium,none,1
28.47,2,0,0.634,1048.4,2.334,no,text,medium,some,0
19.5,2,0,0.512,918.5,1.13,no,text,medium,none,0
47.39,2,1,0.963,500.6,0.349,no,video,low,none,0
12.07,1,1,0.702,299.7,1.576,no,text,low,some,0
9.68,4,2,0.823,566.5,0.461,no,image,medium,none,0
37.85,1,1,0.558,848.1,0.934,no,multimodal,medium,none,0
46.49,1,0,0.742,21.3,1.661,no,text,high,none,0
37.64,2,2,0.504,199.4,1.12,no,image,medium,frequent,1
40.68,2,0,0.69,44.3,1.64,no,text,low,frequent,0
45.93,1,3,0.576,691.6,0.771,no,video,medium,none,0
79.03,2,1,0.54,668.8,1.779,no,image,medium,none,0
54.29,5,1,0.632,221.1,0.505,no,multimodal,medium,frequent,1
53.16,2,2,0.313,280.0,2.009,yes,text,medium,some,1
35.74,1,0,0.494,641.6,1.112,no,multimodal,low,none,0
36.73,2,1,0.805,125.8,2.116,no,multimodal,low,some,0
26.7,3,1,0.736,884.6,0.93,yes,multimodal,low,none,0
39.82,2,1,0.508,457.6,2.312,no,video,low,none,0
11.51,5,1,0.768,538.0,0.871,no,text,medium,some,0
79.27,3,1,0.539,573.4,0.453,yes,image,low,some,0
14.66,3,2,0.796,180.8,1.372,no,image,high,none,1
54.21,8,2,0.661,575.7,1.967,no,text,low,some,1
72.69,5,4,0.628,811.7,1.745,yes,image,medium,none,1
54.12,3,1,0.665,304.5,1.931,no,video,medium,some,1
123.11,3,1,0.99,275.8,1.755,no,image,low,none,1
3.37,5,2,0.559,1863.9,0.94,no,multimodal,medium,frequent,0
20.57,3,2,0.716,251.5,1.733,no,video,high,none,1
71.88,2,1,0.805,388.6,1.396,no,image,high,none,0
9.3,2,3,0.526,1375.3,0.995,no,image,low,none,0
15.07,3,2,0.425,116.8,1.44,no,video,medium,none,0
43.9,2,1,0.584,490.3,1.322,yes,image,low,none,0
31.28,3,4,0.802,799.5,2.058,no,text,medium,some,1
41.99,0,3,0.625,514.2,1.093,no,video,low,none,0
33.33,3,1,0.643,98.4,1.069,no,video,high,some,1
35.65,2,2,0.826,199.1,1.001,no,image,medium,none,1
16.42,1,1,0.551,81.9,2.298,yes,text,low,none,1
34.81,6,2,0.666,465.0,1.029,yes,text,high,none,1
21.75,3,1,0.438,715.7,1.998,no,image,medium,none,0
24.24,4,2,0.731,302.4,0.834,yes,text,low,none,1
53.7,3,2,0.717,411.7,1.603,yes,multimodal,medium,none,1
8.83,6,0,0.807,410.0,1.481,no,video,medium,none,0
1.88,6,1,0.497,1226.1,1.967,yes,text,low,none,0
51.0,2,0,0.649,634.7,1.894,yes,multimodal,low,none,0
34.83,7,1,0.475,574.0,1.391,yes,video,low,none,0
72.64,1,1,0.641,1094.6,1.081,no,text,low,none,0
15.44,5,5,0.917,148.9,2.162,yes,multimodal,medium,none,1
27.78,4,0,0.629,628.4,1.032,no,multimodal,low,some,0
32.19,2,2,0.461,346.3,0.216,yes,image,medium,none,1
18.2,4,4,0.571,1341.2,0.421,yes,text,high,frequent,1
13.73,4,2,0.422,1100.7,0.542,no,multimodal,high,none,0
52.82,2,0,0.473,346.1,1.648,no,text,medium,frequent,0
7.98,3,2,0.787,432.0,2.457,no,image,medium,none,0
11.73,3,0,0.449,238.0,0.33,no,multimodal,high,none,0
27.06,3,0,0.73,982.7,0.959,no,multimodal,medium,none,0
57.16,3,0,0.684,837.7,1.395,yes,video,medium,frequent,0
19.22,0,3,0.595,451.1,2.123,no,text,low,none,0
17.22,3,1,0.716,447.2,0.956,yes,text,low,some,1
25.81,2,4,0.53,370.0,1.645,no,multimodal,low,none,0
39.22,8,0,0.815,1285.5,1.225,no,video,low,none,0
22.72,2,1,0.568,483.0,2.654,no,multimodal,low,some,0
62.26,3,1,0.618,381.9,1.422,no,text,low,none,0
64.07,5,1,0.599,916.1,1.528,no,multimodal,medium,some,0
27.05,4,0,0.79,39.5,1.392,no,text,low,some,0
102.01,4,2,0.767,426.0,1.143,no,text,low,none,1
31.64,2,1,0.261,1005.5,1.825,no,multimodal,medium,none,0
62.6,2,0,0.721,1485.5,0.77,no,image,low,none,0
38.42,2,0,0.401,313.7,0.349,yes,video,medium,some,0
37.9,4,1,0.625,770.0,1.275,yes,video,low,none,0
6.15,1,0,0.663,312.0,1.758,no,multimodal,medium,some,0
10.81,3,2,0.624,1969.8,1.06,no,text,high,none,0
23.69,4,0,0.76,600.8,1.443,no,text,low,frequent,0
63.74,0,1,0.795,833.4,0.74,no,video,medium,none,0
38.83,5,0,0.556,52.4,1.881,no,multimodal,high,none,1
23.87,4,1,0.55,366.6,1.676,no,multimodal,high,some,1
46.81,4,2,0.674,919.3,1.36,no,image,medium,some,0
62.13,0,1,0.433,147.6,1.434,no,video,medium,none,0
30.15,2,2,0.604,599.7,0.653,no,image,low,none,0
35.49,3,0,0.896,1531.0,0.676,no,text,low,none,0
32.18,3,0,0.439,955.2,1.289,no,text,low,none,0
28.7,2,3,0.626,789.9,1.607,no,text,low,none,0
15.29,1,2,0.585,384.7,1.632,no,text,high,none,0
14.24,2,3,0.99,189.1,1.169,no,text,low,none,1
46.6,2,2,0.594,511.2,1.723,no,text,medium,none,0
62.95,3,1,0.603,857.8,2.06,no,multimodal,high,none,1
23.83,5,1,0.515,238.0,1.306,no,text,low,none,0
23.38,5,2,0.681,949.3,1.505,no,multimodal,low,none,0
4.39,2,0,0.723,624.5,1.246,no,multimodal,low,none,0
3.44,5,1,0.538,276.7,1.287,yes,image,low,none,0
74.16,5,1,0.838,111.9,1.435,no,video,medium,some,1
16.19,3,2,0.723,144.9,2.202,no,text,low,none,0
128.72,3,2,0.816,496.2,1.808,no,text,medium,some,1
18.78,2,0,0.627,1170.8,1.763,no,video,low,frequent,0
6.38,2,1,0.719,280.2,1.123,no,video,medium,none,0
32.37,2,3,0.646,1277.8,0.901,no,image,low,some,0
52.38,2,0,0.913,97.7,1.545,no,multimodal,medium,none,1
48.36,3,2,0.699,562.7,1.972,no,video,low,some,0
56.07,6,2,0.681,520.5,2.212,no,image,medium,none,1
12.63,5,0,0.607,720.0,0.2,no,text,medium,some,0
72.98,4,0,0.597,616.9,2.573,no,multimodal,low,none,0
75.87,5,3,0.718,380.6,1.558,no,multimodal,medium,frequent,1
78.11,1,2,0.811,383.1,1.804,no,video,low,none,1
36.41,4,1,0.57,1025.8,0.48,no,multimodal,medium,some,1
22.35,3,2,0.7,585.6,1.232,no,image,high,frequent,0
20.74,4,1,0.709,48.7,1.761,no,text,low,some,0
6.34,3,0,0.737,412.2,0.763,yes,multimodal,medium,none,0
19.14,4,0,0.407,442.1,0.2,no,video,low,none,0
1.67,3,1,0.532,440.1,1.518,no,video,medium,some,0
5.4,2,0,0.461,924.2,1.325,no,video,low,none,0
36.13,1,1,0.685,335.8,2.071,no,image,medium,none,0
24.49,2,0,0.536,655.8,1.27,yes,text,high,some,1
34.98,1,0,0.601,1548.8,1.307,yes,video,low,frequent,0
49.61,5,0,0.489,1176.5,1.699,yes,text,high,none,0
39.87,2,2,0.615,310.9,1.867,no,text,low,none,0
37.43,3,1,0.5,598.3,0.996,no,text,high,some,1
28.02,3,0,0.801,21.0,1.822,no,image,medium,none,1
15.68,4,1,0.757,823.9,1.089,no,multimodal,low,frequent,0
9.38,0,1,0.704,176.1,1.358,no,text,low,some,0
19.57,2,0,0.632,537.2,1.685,no,image,medium,none,0
28.39,7,3,0.354,483.0,1.773,no,multimodal,medium,some,1
31.2,4,2,0.607,1135.4,1.509,no,multimodal,low,some,0
56.16,4,2,0.558,659.5,0.81,no,video,high,none,0
26.44,2,1,0.72,480.2,0.415,no,multimodal,medium,none,0
44.63,1,1,0.779,864.2,1.256,yes,video,high,some,0
7.36,3,0,0.732,1262.6,1.836,no,multimodal,low,none,0
36.51,4,2,0.882,32.8,1.575,no,image,low,frequent,1
34.63,3,6,0.589,326.4,1.471,no,text,low,none,1
72.99,1,1,0.582,1579.0,1.346,yes,image,low,none,0
24.51,5,0,0.846,2099.4,1.505,no,multimodal,low,frequent,0
23.68,5,1,0.707,275.1,0.853,no,video,low,none,1
49.85,3,2,0.64,1013.6,1.74,no,multimodal,medium,none,0
10.12,2,1,0.975,274.4,1.773,no,video,low,none,0
35.81,4,1,0.772,210.2,1.172,no,video,low,frequent,1
9.62,3,0,0.65,495.1,1.569,no,text,medium,frequent,0
95.35,6,2,0.57,1097.2,0.492,no,text,medium,none,1
21.19,7,1,0.892,447.3,1.44,no,video,medium,some,1
8.99,4,1,0.713,1087.1,1.283,no,text,medium,some,0
19.46,3,2,0.684,1157.9,1.98,no,multimodal,low,none,0
35.97,3,0,0.788,369.5,1.251,no,text,medium,none,0
43.64,1,1,0.821,360.6,1.784,yes,text,medium,some,1
70.43,6,0,0.768,457.0,1.154,no,video,low,none,0
17.5,5,1,0.821,552.6,0.207,no,text,low,none,1
51.45,1,0,0.752,502.6,1.237,no,video,high,none,0
5.4,3,4,0.769,592.4,1.448,no,text,low,none,0
11.81,9,1,0.563,392.2,1.425,no,text,low,none,1
7.59,3,1,0.97,192.1,1.433,no,video,low,none,0
14.89,6,0,0.483,1827.5,1.097,no,image,high,none,0
49.83,7,0,0.73,326.2,1.188,no,video,medium,frequent,1
17.87,2,1,0.466,108.0,0.787,no,text,high,none,1
20.88,5,3,0.664,912.5,0.352,yes,video,medium,none,1
36.69,5,0,0.589,227.3,1.297,no,image,medium,none,0
42.33,2,2,0.702,849.2,0.977,no,text,low,none,0
21.42,4,1,0.735,313.9,1.89,no,video,low,some,0
11.73,3,1,0.527,2062.2,0.259,yes,video,medium,none,0
85.16,4,0,0.675,1399.2,1.496,yes,multimodal,high,some,1
21.53,3,1,0.903,473.3,2.411,no,multimodal,high,none,1
23.35,3,1,0.47,791.0,1.259,no,video,high,some,0
25.8,3,2,0.543,679.9,1.349,no,text,medium,some,0
45.58,1,1,0.818,304.2,1.563,no,multimodal,medium,none,0
6.95,4,1,0.692,889.5,1.602,no,video,medium,some,0
107.45,1,1,0.704,588.8,1.146,yes,multimodal,medium,some,1
22.82,6,1,0.844,652.4,0.846,no,video,low,frequent,1
46.69,2,0,0.553,838.3,1.676,no,text,low,frequent,0
9.1,1,1,0.597,513.3,0.396,no,multimodal,low,some,0
33.98,3,2,0.577,271.6,1.766,no,multimodal,low,none,1
96.68,3,3,0.624,791.1,1.154,no,text,low,none,0
87.85,3,2,0.894,945.2,1.352,no,video,medium,some,0
45.82,2,0,0.408,948.6,1.087,no,video,medium,frequent,0
14.0,3,0,0.489,962.9,2.065,no,video,medium,none,0
67.92,1,1,0.461,720.7,1.475,no,multimodal,medium,none,1
5.36,3,2,0.904,114.9,1.189,no,text,low,none,1
13.54,2,0,0.582,2123.9,1.175,no,text,low,none,0
28.14,4,2,0.628,940.3,1.276,no,text,medium,none,0
5.94,2,0,0.422,410.6,2.548,yes,multimodal,low,none,0
19.42,3,0,0.638,1039.2,0.691,no,text,medium,some,0
52.18,5,1,0.819,204.2,1.891,no,video,medium,none,1
16.28,1,0,0.72,853.0,1.634,no,multimodal,low,none,0
53.92,3,0,0.663,445.5,2.12,no,multimodal,high,none,1
126.41,3,0,0.43,215.0,1.665,no,text,low,some,1
39.94,3,1,0.628,211.7,1.352,yes,text,medium,none,0
53.26,2,2,0.704,760.4,1.86,no,multimodal,high,none,1
69.5,5,2,0.521,826.9,1.465,no,video,medium,some,1
20.98,1,1,0.785,256.0,1.727,no,text,medium,some,0
52.38,1,2,0.822,450.6,2.064,yes,text,medium,none,1
20.55,4,1,0.595,706.9,1.396,yes,multimodal,low,none,0
37.91,1,0,0.796,363.2,1.138,no,multimodal,medium,frequent,0
58.01,3,4,0.662,1892.8,1.028,yes,video,medium,none,1
14.6,2,2,0.864,767.3,1.575,no,image,low,none,0
1.93,2,2,0.99,514.3,0.911,no,video,low,frequent,1
13.36,3,3,0.505,1149.0,1.175,no,text,high,some,0
64.01,3,2,0.803,814.0,0.866,no,multimodal,low,none,1
11.86,5,5,0.889,711.6,1.604,yes,text,high,some,1
61.58,3,2,0.525,777.7,0.974,no,text,low,none,0
13.43,4,0,0.588,957.0,0.707,no,text,low,some,0
25.14,3,0,0.586,335.6,0.795,no,text,medium,some,0
29.68,9,1,0.659,85.5,1.064,no,image,medium,none,1
11.8,2,0,0.623,1215.0,1.11,no,video,medium,frequent,0
25.37,1,0,0.648,590.4,1.476,no,image,low,some,0
6.36,6,5,0.814,389.9,1.269,no,video,medium,none,1
22.56,2,0,0.377,270.5,1.535,yes,text,medium,some,0
27.82,6,0,0.524,240.1,1.575,yes,image,low,some,1
2.08,4,0,0.787,638.4,1.72,no,image,medium,none,0
13.26,3,1,0.768,548.8,0.396,yes,video,low,none,0
37.06,1,2,0.511,1159.2,0.786,yes,text,low,none,0
10.54,5,6,0.77,841.0,1.627,yes,multimodal,low,frequent,1
41.66,1,0,0.892,945.4,1.456,no,text,low,none,0
44.64,5,1,0.672,1118.5,1.838,no,text,medium,none,1
36.94,3,0,0.519,663.5,0.578,no,text,high,none,0
51.95,2,0,0.82,1525.0,1.112,yes,video,low,none,0
5.91,0,0,0.956,320.9,1.202,yes,text,low,none,0
59.82,4,0,0.538,1102.8,1.433,no,text,high,none,0
11.98,2,0,0.686,84.2,1.368,yes,image,low,none,0
32.36,3,2,0.854,89.3,1.585,no,image,low,some,1
94.16,1,1,0.698,199.0,1.293,yes,text,medium,none,1
22.16,2,1,0.4,516.2,2.036,no,video,low,none,0
30.27,4,0,0.751,73.8,2.196,no,video,medium,none,0
12.05,2,4,0.523,503.1,0.791,no,text,high,some,0
93.54,0,2,0.477,408.5,1.373,no,text,medium,none,0
13.29,2,0,0.404,2002.4,1.749,yes,image,medium,none,0
47.45,3,2,0.87,152.4,1.643,no,multimodal,low,some,1
69.42,2,0,0.546,617.7,1.146,no,multimodal,low,none,0
50.69,4,0,0.733,827.5,1.477,no,text,high,none,0
38.64,3,1,0.773,1457.0,0.558,no,multimodal,high,none,0
31.99,6,1,0.706,930.5,1.34,yes,image,medium,some,0
9.0,2,0,0.727,1224.9,0.62,no,image,low,none,0
90.78,3,0,0.741,683.1,1.604,yes,multimodal,medium,some,1
36.33,2,1,0.702,293.2,0.792,no,video,low,frequent,1
30.28,1,1,0.558,136.5,1.432,no,video,medium,some,0
11.09,1,1,0.544,990.1,1.51,yes,video,medium,none,0
31.43,2,1,0.663,392.4,1.388,no,multimodal,low,some,1
28.83,2,1,0.66,60.7,1.034,no,text,medium,none,0
94.16,2,4,0.749,424.7,1.245,no,image,medium,none,1
30.27,3,1,0.856,545.9,1.941,no,image,high,none,1
31.04,3,0,0.735,1349.4,1.138,no,multimodal,low,none,0
11.22,2,2,0.55,454.7,1.361,no,text,low,frequent,0
15.79,2,5,0.331,549.2,1.072,no,text,medium,some,0
43.52,7,3,0.557,556.1,1.86,no,image,low,some,1
4.69,2,0,0.465,1085.1,1.389,no,text,low,some,0
59.6,1,1,0.563,300.2,0.968,no,video,low,none,0
60.71,0,1,0.719,749.7,1.354,no,image,low,some,0
14.34,7,1,0.694,363.6,1.229,no,multimodal,medium,none,1
38.74,5,1,0.977,1328.4,2.046,no,multimodal,high,none,1
70.96,5,1,0.757,1538.3,1.328,no,image,medium,none,0
27.03,1,3,0.985,619.9,0.659,no,multimodal,medium,some,1
23.18,5,2,0.794,711.4,1.599,no,text,low,some,0
25.54,4,1,0.854,463.2,2.243,no,video,medium,frequent,1
36.27,2,0,0.623,88.9,1.948,yes,video,medium,some,1
17.64,3,2,0.508,559.8,0.799,no,text,medium,none,0
21.59,4,2,0.608,520.7,1.216,yes,text,medium,none,0
36.81,2,0,0.678,416.3,1.335,no,video,medium,none,0
20.15,1,3,0.579,456.2,1.341,no,image,low,some,1
10.29,1,1,0.52,757.0,1.54,no,video,high,none,0
4.2,4,1,0.747,712.7,1.178,no,text,medium,none,0
30.72,3,3,0.519,465.9,0.892,no,text,low,none,0
67.99,3,0,0.435,1410.1,1.826,no,multimodal,high,some,0
40.17,2,1,0.5,73.4,0.788,no,text,low,none,0
10.68,4,0,0.643,313.3,0.949,yes,multimodal,low,some,0
15.69,3,0,0.521,989.0,0.785,no,video,medium,none,0
23.04,5,1,0.644,106.3,1.656,no,video,medium,none,0
96.16,0,1,0.776,71.7,1.403,yes,text,low,some,1
99.62,2,1,0.772,309.9,1.792,no,multimodal,low,none,1
91.99,5,2,0.574,526.2,0.957,no,multimodal,low,some,1
33.15,5,1,0.471,374.8,0.723,no,video,low,some,0
181.09,3,1,0.588,637.6,1.128,no,video,medium,none,1
16.38,1,0,0.785,79.5,1.259,no,image,low,some,0
22.35,2,1,0.822,283.1,1.455,no,text,medium,some,1
56.45,1,1,0.736,882.2,0.509,yes,multimodal,medium,none,0
36.95,0,1,0.872,752.5,1.589,no,text,medium,none,0
38.52,3,2,0.957,332.3,0.903,no,image,high,none,1
12.48,0,4,0.603,604.6,1.026,no,image,low,none,0
28.66,4,2,0.918,517.7,1.937,yes,multimodal,low,none,1
16.6,3,4,0.638,529.5,0.258,no,video,low,some,0
